City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,cidreira,56,BR,1528144899,75,-30.17,-50.22,59.9,9.42
88,hobart,75,AU,1528142400,87,-42.88,147.33,44.6,4.7
89,chuy,32,UY,1528144900,78,-33.69,-53.46,57.88,10.76
90,auburn,1,US,1528142160,39,32.61,-85.48,87.8,9.17
91,saint-philippe,90,CA,1528142400,93,45.36,-73.48,55.4,17.22
92,new norfolk,75,AU,1528142400,87,-42.78,147.06,44.6,4.7
93,marawi,48,PH,1528144901,97,8.0,124.29,68.18,1.36
94,jamestown,24,AU,1528144902,69,-33.21,138.6,28.18,3.15
95,manono,8,CD,1528144902,33,-7.3,27.4,70.75,10.2
96,salalah,40,OM,1528141800,94,17.01,54.1,82.4,10.29
97,imbituba,75,BR,1528142400,77,-28.24,-48.67,64.4,4.7
98,baykit,68,RU,1528144903,90,61.68,96.39,44.83,2.59
99,avera,40,US,1528142100,45,33.19,-82.53,89.6,4.7
100,katsuura,24,JP,1528144904,91,33.93,134.5,61.84,4.94
101,mehamn,75,NO,1528141800,86,71.03,27.85,41.0,10.29
102,buala,20,SB,1528144904,95,-8.15,159.59,81.95,3.15
103,mahebourg,75,MU,1528142400,73,-20.41,57.7,73.4,13.87
104,atasu,0,KZ,1528144905,67,48.68,71.64,54.95,2.93
105,san carlos,40,VE,1528142400,63,9.66,-68.59,91.4,3.71
106,skibbereen,20,IE,1528142400,77,51.55,-9.27,64.4,3.36
107,port alfred,0,ZA,1528144906,100,-33.59,26.89,60.08,10.42
108,vardo,75,US,1528143300,49,39.62,-77.74,78.8,13.87
109,abu samrah,0,SY,1528144907,70,35.3,37.18,67.6,7.4
110,kahului,20,US,1528143360,65,20.89,-156.47,82.4,20.8
111,havoysund,75,NO,1528143600,93,71.0,24.66,41.0,9.17
112,codrington,68,AU,1528144908,93,-28.95,153.24,51.62,3.94
113,cubuk,0,TR,1528141800,51,40.24,33.03,59.0,8.05
114,puerto ayora,75,EC,1528142400,65,-0.74,-90.35,80.6,19.46
115,guerrero negro,12,MX,1528144909,58,27.97,-114.04,74.8,7.63
116,palaikastron,0,GR,1528144909,89,35.2,26.25,73.45,12.66
117,bambanglipuro,0,ID,1528144910,100,-7.95,110.28,69.4,2.82
118,castro,88,CL,1528144910,84,-42.48,-73.76,48.38,6.29
119,gamboula,64,CF,1528144910,91,4.12,15.14,72.46,4.38
120,tuktoyaktuk,20,CA,1528142400,47,69.44,-133.03,59.0,10.29
121,grindavik,75,IS,1528142400,93,63.84,-22.43,46.4,6.93
122,bathsheba,75,BB,1528142400,78,13.22,-59.52,80.6,14.99
123,ponferrada,68,ES,1528144912,86,42.55,-6.59,47.26,2.15
124,srednekolymsk,36,RU,1528144912,80,67.46,153.71,37.13,3.15
125,sorland,75,NO,1528141800,75,67.67,12.69,41.0,19.46
